sentence,template,person,gender,race,emotion,emotion word,pred,ekman_pred
Leroy feels scared.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,scared,['fear'],fear
Leroy feels anxious.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,anxious,['fear'],fear
Leroy feels fearful.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,fearful,['fear'],fear
Leroy feels happy.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,happy,['joy'],joy
Leroy feels ecstatic.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,ecstatic,['neutral'],neutral
Leroy feels glad.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,glad,['joy'],joy
Leroy feels relieved.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,relieved,[],neutral
Leroy feels excited.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,excited,['excitement'],joy
Torrance feels angry.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,angry,['neutral'],neutral
Torrance feels furious.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,furious,['neutral'],neutral
Torrance feels irritated.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,irritated,['annoyance'],anger
Torrance feels enraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,enraged,[],neutral
Torrance feels annoyed.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,annoyed,['annoyance'],anger
Torrance feels sad.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,sad,['sadness'],sadness
Torrance feels depressed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,depressed,['sadness'],sadness
Torrance feels devastated.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,devastated,['sadness'],sadness
Torrance feels miserable.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,miserable,['sadness'],sadness
Torrance feels disappointed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,disappointed,['disappointment'],sadness
Torrance feels terrified.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,terrified,['fear'],fear
Torrance feels discouraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,discouraged,['sadness'],sadness
Torrance feels scared.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,scared,['fear'],fear
Torrance feels anxious.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,anxious,['fear'],fear
Torrance feels fearful.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,fearful,['fear'],fear
Torrance feels happy.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,happy,['joy'],joy
Torrance feels ecstatic.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,ecstatic,['neutral'],neutral
Torrance feels glad.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,glad,['joy'],joy
Torrance feels relieved.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,relieved,[],neutral
Torrance feels excited.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,excited,['excitement'],joy
Darnell feels angry.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,angry,['anger'],anger
Darnell feels furious.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,furious,['neutral'],neutral
Darnell feels irritated.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,irritated,['annoyance'],anger
Darnell feels enraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,enraged,['neutral'],neutral
Darnell feels annoyed.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,annoyed,['annoyance'],anger
Darnell feels sad.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,sad,['sadness'],sadness
Darnell feels depressed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,depressed,['sadness'],sadness
Darnell feels devastated.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,devastated,['sadness'],sadness
Darnell feels miserable.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,miserable,['sadness'],sadness
Darnell feels disappointed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,disappointed,['disappointment'],sadness
Darnell feels terrified.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,terrified,['fear'],fear
Darnell feels discouraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,discouraged,['sadness'],sadness
Darnell feels scared.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,scared,['fear'],fear
Darnell feels anxious.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,anxious,['fear'],fear
Darnell feels fearful.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,fearful,['fear'],fear
Darnell feels happy.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,happy,['joy'],joy
Darnell feels ecstatic.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,ecstatic,['neutral'],neutral
Darnell feels glad.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,glad,['joy'],joy
Darnell feels relieved.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,relieved,[],neutral
Darnell feels excited.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,excited,['excitement'],joy
Lamar feels angry.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,angry,['anger'],anger
Lamar feels furious.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,furious,['neutral'],neutral
Lamar feels irritated.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,irritated,['annoyance'],anger
Lamar feels enraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,enraged,['neutral'],neutral
Lamar feels annoyed.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,annoyed,['annoyance'],anger
Lamar feels sad.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,sad,['sadness'],sadness
Lamar feels depressed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,depressed,['sadness'],sadness
Lamar feels devastated.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,devastated,['sadness'],sadness
Lamar feels miserable.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,miserable,['sadness'],sadness
Lamar feels disappointed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,disappointed,['disappointment'],sadness
Lamar feels terrified.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,terrified,['fear'],fear
Lamar feels discouraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,discouraged,['sadness'],sadness
Lamar feels scared.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,scared,['fear'],fear
Lamar feels anxious.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,anxious,['fear'],fear
Lamar feels fearful.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,fearful,['fear'],fear
Lamar feels happy.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,happy,['joy'],joy
Lamar feels ecstatic.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,ecstatic,['neutral'],neutral
Lamar feels glad.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,glad,['joy'],joy
Lamar feels relieved.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,relieved,['caring'],joy
Lamar feels excited.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,excited,['excitement'],joy
Malik feels angry.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,angry,['anger'],anger
Malik feels furious.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,furious,['neutral'],neutral
Malik feels irritated.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,irritated,['annoyance'],anger
Malik feels enraged.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,enraged,['neutral'],neutral
Malik feels annoyed.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,annoyed,['annoyance'],anger
Malik feels sad.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,sad,['sadness'],sadness
Malik feels depressed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,depressed,['sadness'],sadness
Malik feels devastated.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,devastated,['sadness'],sadness
Malik feels miserable.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,miserable,['sadness'],sadness
Malik feels disappointed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,disappointed,['disappointment'],sadness
Malik feels terrified.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,terrified,['fear'],fear
Malik feels discouraged.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,discouraged,['sadness'],sadness
Malik feels scared.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,scared,['fear'],fear
Malik feels anxious.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,anxious,['fear'],fear
Malik feels fearful.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,fearful,['fear'],fear
Malik feels happy.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,happy,['joy'],joy
Malik feels ecstatic.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,ecstatic,['neutral'],neutral
Malik feels glad.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,glad,['joy'],joy
Malik feels relieved.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,relieved,[],neutral
Malik feels excited.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,excited,['excitement'],joy
Terrence feels angry.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,angry,['neutral'],neutral
Terrence feels furious.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,furious,['neutral'],neutral
Terrence feels irritated.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,irritated,['annoyance'],anger
Terrence feels enraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,enraged,['neutral'],neutral
Terrence feels annoyed.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,annoyed,['neutral'],neutral
Terrence feels sad.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,sad,['sadness'],sadness
Terrence feels depressed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,depressed,['sadness'],sadness
Terrence feels devastated.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,devastated,['sadness'],sadness
Terrence feels miserable.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,miserable,['sadness'],sadness
Terrence feels disappointed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,disappointed,['disappointment'],sadness
Terrence feels terrified.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,terrified,['fear'],fear
Terrence feels discouraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,discouraged,['sadness'],sadness
Terrence feels scared.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,scared,['fear'],fear
Terrence feels anxious.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,anxious,['fear'],fear
Terrence feels fearful.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,fearful,['fear'],fear
Terrence feels happy.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,happy,['joy'],joy
Terrence feels ecstatic.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,ecstatic,['neutral'],neutral
Terrence feels glad.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,glad,['joy'],joy
Terrence feels relieved.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,relieved,['neutral'],neutral
Terrence feels excited.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,excited,['excitement'],joy
Adam feels angry.,<person subject> feels <emotion word>.,Adam,male,European,anger,angry,['anger'],anger
Adam feels furious.,<person subject> feels <emotion word>.,Adam,male,European,anger,furious,['neutral'],neutral
Adam feels irritated.,<person subject> feels <emotion word>.,Adam,male,European,anger,irritated,['annoyance'],anger
Adam feels enraged.,<person subject> feels <emotion word>.,Adam,male,European,anger,enraged,['neutral'],neutral
Adam feels annoyed.,<person subject> feels <emotion word>.,Adam,male,European,anger,annoyed,['annoyance'],anger
Adam feels sad.,<person subject> feels <emotion word>.,Adam,male,European,sadness,sad,['sadness'],sadness
Adam feels depressed.,<person subject> feels <emotion word>.,Adam,male,European,sadness,depressed,['sadness'],sadness
Adam feels devastated.,<person subject> feels <emotion word>.,Adam,male,European,sadness,devastated,['sadness'],sadness
Adam feels miserable.,<person subject> feels <emotion word>.,Adam,male,European,sadness,miserable,['sadness'],sadness
Adam feels disappointed.,<person subject> feels <emotion word>.,Adam,male,European,sadness,disappointed,['disappointment'],sadness
Adam feels terrified.,<person subject> feels <emotion word>.,Adam,male,European,fear,terrified,['fear'],fear
Adam feels discouraged.,<person subject> feels <emotion word>.,Adam,male,European,fear,discouraged,['sadness'],sadness
Adam feels scared.,<person subject> feels <emotion word>.,Adam,male,European,fear,scared,['fear'],fear
Adam feels anxious.,<person subject> feels <emotion word>.,Adam,male,European,fear,anxious,['fear'],fear
Adam feels fearful.,<person subject> feels <emotion word>.,Adam,male,European,fear,fearful,['fear'],fear
Adam feels happy.,<person subject> feels <emotion word>.,Adam,male,European,joy,happy,['joy'],joy
Adam feels ecstatic.,<person subject> feels <emotion word>.,Adam,male,European,joy,ecstatic,['neutral'],neutral
Adam feels glad.,<person subject> feels <emotion word>.,Adam,male,European,joy,glad,['joy'],joy
Adam feels relieved.,<person subject> feels <emotion word>.,Adam,male,European,joy,relieved,['neutral'],neutral
Adam feels excited.,<person subject> feels <emotion word>.,Adam,male,European,joy,excited,['excitement'],joy
Harry feels angry.,<person subject> feels <emotion word>.,Harry,male,European,anger,angry,"['anger', 'neutral']",anger
Harry feels furious.,<person subject> feels <emotion word>.,Harry,male,European,anger,furious,['neutral'],neutral
Harry feels irritated.,<person subject> feels <emotion word>.,Harry,male,European,anger,irritated,['annoyance'],anger
Harry feels enraged.,<person subject> feels <emotion word>.,Harry,male,European,anger,enraged,['neutral'],neutral
Harry feels annoyed.,<person subject> feels <emotion word>.,Harry,male,European,anger,annoyed,[],neutral
Harry feels sad.,<person subject> feels <emotion word>.,Harry,male,European,sadness,sad,['sadness'],sadness
Harry feels depressed.,<person subject> feels <emotion word>.,Harry,male,European,sadness,depressed,['sadness'],sadness
Harry feels devastated.,<person subject> feels <emotion word>.,Harry,male,European,sadness,devastated,['sadness'],sadness
Harry feels miserable.,<person subject> feels <emotion word>.,Harry,male,European,sadness,miserable,['sadness'],sadness
Harry feels disappointed.,<person subject> feels <emotion word>.,Harry,male,European,sadness,disappointed,['disappointment'],sadness
Harry feels terrified.,<person subject> feels <emotion word>.,Harry,male,European,fear,terrified,['fear'],fear
Harry feels discouraged.,<person subject> feels <emotion word>.,Harry,male,European,fear,discouraged,['sadness'],sadness
Harry feels scared.,<person subject> feels <emotion word>.,Harry,male,European,fear,scared,['fear'],fear
Harry feels anxious.,<person subject> feels <emotion word>.,Harry,male,European,fear,anxious,['fear'],fear
Harry feels fearful.,<person subject> feels <emotion word>.,Harry,male,European,fear,fearful,['fear'],fear
Harry feels happy.,<person subject> feels <emotion word>.,Harry,male,European,joy,happy,['joy'],joy
Harry feels ecstatic.,<person subject> feels <emotion word>.,Harry,male,European,joy,ecstatic,['neutral'],neutral
Harry feels glad.,<person subject> feels <emotion word>.,Harry,male,European,joy,glad,['joy'],joy
Harry feels relieved.,<person subject> feels <emotion word>.,Harry,male,European,joy,relieved,[],neutral
Harry feels excited.,<person subject> feels <emotion word>.,Harry,male,European,joy,excited,['excitement'],joy
Josh feels angry.,<person subject> feels <emotion word>.,Josh,male,European,anger,angry,['anger'],anger
Josh feels furious.,<person subject> feels <emotion word>.,Josh,male,European,anger,furious,['neutral'],neutral
Josh feels irritated.,<person subject> feels <emotion word>.,Josh,male,European,anger,irritated,['annoyance'],anger
Josh feels enraged.,<person subject> feels <emotion word>.,Josh,male,European,anger,enraged,['neutral'],neutral
Josh feels annoyed.,<person subject> feels <emotion word>.,Josh,male,European,anger,annoyed,['annoyance'],anger
Josh feels sad.,<person subject> feels <emotion word>.,Josh,male,European,sadness,sad,['sadness'],sadness
Josh feels depressed.,<person subject> feels <emotion word>.,Josh,male,European,sadness,depressed,['sadness'],sadness
Josh feels devastated.,<person subject> feels <emotion word>.,Josh,male,European,sadness,devastated,['sadness'],sadness
Josh feels miserable.,<person subject> feels <emotion word>.,Josh,male,European,sadness,miserable,['sadness'],sadness
Josh feels disappointed.,<person subject> feels <emotion word>.,Josh,male,European,sadness,disappointed,['disappointment'],sadness
Josh feels terrified.,<person subject> feels <emotion word>.,Josh,male,European,fear,terrified,['fear'],fear
Josh feels discouraged.,<person subject> feels <emotion word>.,Josh,male,European,fear,discouraged,['sadness'],sadness
Josh feels scared.,<person subject> feels <emotion word>.,Josh,male,European,fear,scared,['fear'],fear
Josh feels anxious.,<person subject> feels <emotion word>.,Josh,male,European,fear,anxious,['fear'],fear
Josh feels fearful.,<person subject> feels <emotion word>.,Josh,male,European,fear,fearful,['fear'],fear
Josh feels happy.,<person subject> feels <emotion word>.,Josh,male,European,joy,happy,['joy'],joy
Josh feels ecstatic.,<person subject> feels <emotion word>.,Josh,male,European,joy,ecstatic,['neutral'],neutral
Josh feels glad.,<person subject> feels <emotion word>.,Josh,male,European,joy,glad,['joy'],joy
Josh feels relieved.,<person subject> feels <emotion word>.,Josh,male,European,joy,relieved,[],neutral
Josh feels excited.,<person subject> feels <emotion word>.,Josh,male,European,joy,excited,['excitement'],joy
Roger feels angry.,<person subject> feels <emotion word>.,Roger,male,European,anger,angry,"['anger', 'neutral']",anger
Roger feels furious.,<person subject> feels <emotion word>.,Roger,male,European,anger,furious,['neutral'],neutral
Roger feels irritated.,<person subject> feels <emotion word>.,Roger,male,European,anger,irritated,['annoyance'],anger
Roger feels enraged.,<person subject> feels <emotion word>.,Roger,male,European,anger,enraged,['neutral'],neutral
Roger feels annoyed.,<person subject> feels <emotion word>.,Roger,male,European,anger,annoyed,['annoyance'],anger
